in_dim,out_dim,depth,widths,activation,bias,skip_connections,residual_period,layernorm,init,target_params,hidden,n_data,x_dist,cov_decay,mixture_k,mixture_spread,x_dim_latent,noise_model,noise_scale,hetero_scale,student_df,outlier_frac,outlier_scale,teacher_depth,teacher_widths,teacher_activation,teacher_dropout_rate,loss,beta_mode,beta0,prior_radius,gamma,prior_center,reference_for_L0,samplers,chains,use_batched_chains,sgld_steps,sgld_warmup,sgld_batch_size,sgld_step_size,sgld_thin,sgld_eval_every,sgld_dtype,sgld_precond,sgld_beta1,sgld_beta2,sgld_eps,sgld_bias_correction,sghmc_steps,sghmc_warmup,sghmc_batch_size,sghmc_step_size,sghmc_temperature,sghmc_thin,sghmc_eval_every,sghmc_dtype,hmc_draws,hmc_warmup,hmc_num_integration_steps,hmc_thin,hmc_eval_every,hmc_dtype,mclmc_draws,mclmc_eval_every,mclmc_thin,mclmc_dtype,mclmc_tune_steps,mclmc_diagonal_preconditioning,mclmc_desired_energy_var,mclmc_integrator,mclmc_adjusted,mclmc_adjusted_target_accept,mclmc_grad_per_step_override,seed,use_tqdm,progress_update_every,profile_adaptation,diag_mode,diag_k,diag_seed,max_theta_plot_dims,save_plots_prefix,artifacts_dir,save_plots,show_plots,auto_create_run_dir,save_manifest,save_readme_snippet,auto_update_readme,save_artifacts,llc_sgld,llc_hmc,llc_mclmc
32,1,1,,gelu,True,False,2,False,he,10000,300,1000,gauss_iso,0.95,4,2.0,2,gauss,0.1,0.1,4.0,0.05,2.0,,,,0.0,mse,1_over_log_n,1.0,,1.0,,,"('sgld', 'hmc', 'mclmc')",2,False,1000,200,256,1e-06,5,100,float32,adam,0.9,0.999,1e-08,True,4000,1000,256,1e-06,1.0,20,10,float32,200,100,10,2,20,float64,400,40,2,float64,2000,False,0.0005,isokinetic_mclachlan,False,0.9,,0,True,50,True,proj,16,1234,8,,/artifacts,False,False,True,True,True,False,True,82.99463511334194,175.58177151433267,321.22910132272057
32,1,1,,relu,True,False,2,False,he,10000,300,1000,gauss_iso,0.95,4,2.0,2,gauss,0.1,0.1,4.0,0.05,2.0,,,,0.0,mse,1_over_log_n,1.0,,1.0,,,"('sgld', 'hmc', 'mclmc')",2,False,1000,200,256,1e-06,5,100,float32,adam,0.9,0.999,1e-08,True,4000,1000,256,1e-06,1.0,20,10,float32,200,100,10,2,20,float64,400,40,2,float64,2000,False,0.0005,isokinetic_mclachlan,False,0.9,,0,True,50,True,proj,16,1234,8,,/artifacts,False,False,True,True,True,False,True,658.9592862112103,181.98193943216168,324.07611332809626
32,1,1,,relu,True,False,2,False,he,10000,300,1000,gauss_aniso,0.95,4,2.0,2,gauss,0.1,0.1,4.0,0.05,2.0,,,,0.0,mse,1_over_log_n,1.0,,1.0,,,"('sgld', 'hmc', 'mclmc')",2,False,1000,200,256,1e-06,5,100,float32,adam,0.9,0.999,1e-08,True,4000,1000,256,1e-06,1.0,20,10,float32,200,100,10,2,20,float64,400,40,2,float64,2000,False,0.0005,isokinetic_mclachlan,False,0.9,,0,True,50,True,proj,16,1234,8,,/artifacts,False,False,True,True,True,False,True,8769.939717592086,163.5918475726885,262.2157866639249
32,1,1,,relu,True,False,2,False,he,10000,300,1000,mixture,0.95,4,2.0,2,gauss,0.1,0.1,4.0,0.05,2.0,,,,0.0,mse,1_over_log_n,1.0,,1.0,,,"('sgld', 'hmc', 'mclmc')",2,False,1000,200,256,1e-06,5,100,float32,adam,0.9,0.999,1e-08,True,4000,1000,256,1e-06,1.0,20,10,float32,200,100,10,2,20,float64,400,40,2,float64,2000,False,0.0005,isokinetic_mclachlan,False,0.9,,0,True,50,True,proj,16,1234,8,,/artifacts,False,False,True,True,True,False,True,103.59689815507096,174.84091905367376,266.70493576370234
32,1,1,,relu,True,False,2,False,he,10000,300,1000,lowdim_manifold,0.95,4,2.0,2,gauss,0.1,0.1,4.0,0.05,2.0,,,,0.0,mse,1_over_log_n,1.0,,1.0,,,"('sgld', 'hmc', 'mclmc')",2,False,1000,200,256,1e-06,5,100,float32,adam,0.9,0.999,1e-08,True,4000,1000,256,1e-06,1.0,20,10,float32,200,100,10,2,20,float64,400,40,2,float64,2000,False,0.0005,isokinetic_mclachlan,False,0.9,,0,True,50,True,proj,16,1234,8,,/artifacts,False,False,True,True,True,False,True,43.20537590536992,22.88308728897092,40.303665346571876
32,1,1,,relu,True,False,2,False,he,10000,300,1000,gauss_iso,0.95,4,2.0,2,gauss,0.1,0.1,4.0,0.05,2.0,,,,0.0,mse,1_over_log_n,1.0,,1.0,,,"('sgld', 'hmc', 'mclmc')",2,False,1000,200,256,1e-06,5,100,float32,adam,0.9,0.999,1e-08,True,4000,1000,256,1e-06,1.0,20,10,float32,200,100,10,2,20,float64,400,40,2,float64,2000,False,0.0005,isokinetic_mclachlan,False,0.9,,0,True,50,True,proj,16,1234,8,,/artifacts,False,False,True,True,True,False,True,658.9592862112103,181.98193943216168,324.07611332809626
32,1,1,,relu,True,False,2,False,he,10000,300,1000,gauss_iso,0.95,4,2.0,2,hetero,0.1,0.1,4.0,0.05,2.0,,,,0.0,mse,1_over_log_n,1.0,,1.0,,,"('sgld', 'hmc', 'mclmc')",2,False,1000,200,256,1e-06,5,100,float32,adam,0.9,0.999,1e-08,True,4000,1000,256,1e-06,1.0,20,10,float32,200,100,10,2,20,float64,400,40,2,float64,2000,False,0.0005,isokinetic_mclachlan,False,0.9,,0,True,50,True,proj,16,1234,8,,/artifacts,False,False,True,True,True,False,True,151.22221705525743,178.28627027358695,330.39937767087065
32,1,1,,relu,True,False,2,False,he,10000,300,1000,gauss_iso,0.95,4,2.0,2,student_t,0.1,0.1,4.0,0.05,2.0,,,,0.0,mse,1_over_log_n,1.0,,1.0,,,"('sgld', 'hmc', 'mclmc')",2,False,1000,200,256,1e-06,5,100,float32,adam,0.9,0.999,1e-08,True,4000,1000,256,1e-06,1.0,20,10,float32,200,100,10,2,20,float64,400,40,2,float64,2000,False,0.0005,isokinetic_mclachlan,False,0.9,,0,True,50,True,proj,16,1234,8,,/artifacts,False,False,True,True,True,False,True,13316.062414213604,178.01574369446135,333.33093484282
32,1,1,,relu,True,False,2,False,he,10000,300,1000,gauss_iso,0.95,4,2.0,2,gauss,0.1,0.1,4.0,0.05,2.0,,,,0.0,mse,1_over_log_n,1.0,,1.0,,,"('sgld', 'hmc', 'mclmc')",2,False,1000,200,256,1e-06,5,100,float32,adam,0.9,0.999,1e-08,True,4000,1000,256,1e-06,1.0,20,10,float32,200,100,10,2,20,float64,400,40,2,float64,2000,False,0.0005,isokinetic_mclachlan,False,0.9,,0,True,50,True,proj,16,1234,8,,/artifacts,False,False,True,True,True,False,True,658.9592862112103,181.98193943216168,324.07611332809626
32,1,1,,relu,True,False,2,False,he,10000,300,1000,gauss_iso,0.95,4,2.0,2,gauss,0.1,0.1,4.0,0.05,2.0,,,,0.0,t_regression,1_over_log_n,1.0,,1.0,,,"('sgld', 'hmc', 'mclmc')",2,False,1000,200,256,1e-06,5,100,float32,adam,0.9,0.999,1e-08,True,4000,1000,256,1e-06,1.0,20,10,float32,200,100,10,2,20,float64,400,40,2,float64,2000,False,0.0005,isokinetic_mclachlan,False,0.9,,0,True,50,True,proj,16,1234,8,,/artifacts,False,False,True,True,True,False,True,132.94615424897873,453.6891359702255,3274.393936682328
